City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Krasnovishersk,60.4078,57.082,274.72,97,100,4.39,RU,2021-09-18 18:59:28
68,Laguna,38.421,-121.4238,298.51,62,1,1.79,US,2021-09-18 18:59:29
69,Cayenne,4.9333,-52.3333,305.17,71,90,1.79,GF,2021-09-18 18:59:23
70,East+London,-33.0153,27.9116,289.67,67,20,5.14,ZA,2021-09-18 18:59:30
71,Faya,18.3851,42.4509,297.21,22,11,4.08,SA,2021-09-18 18:59:30
72,Koumac,-20.5667,164.2833,290.97,76,0,2.1,NC,2021-09-18 18:59:31
73,Srednekolymsk,67.45,153.6833,272.63,77,33,5.16,RU,2021-09-18 18:59:31
74,Dikson,73.5069,80.5464,274.57,75,12,11.98,RU,2021-09-18 18:59:32
75,Itarema,-2.9248,-39.9167,301.69,61,0,8.6,BR,2021-09-18 18:59:32
76,Nelson+Bay,-32.7167,152.15,286.35,94,0,3.83,AU,2021-09-18 18:59:32
77,Sao+Gabriel+Da+Cachoeira,-0.1303,-67.0892,304.04,62,40,2.57,BR,2021-09-18 18:59:33
78,Marawi,7.9986,124.2928,291.84,90,90,1.45,PH,2021-09-18 18:59:34
79,Pogar,52.554,33.2591,282.27,94,100,8.83,RU,2021-09-18 18:59:34
80,Los+Llanos+De+Aridane,28.6585,-17.9182,296.01,78,40,4.12,ES,2021-09-18 18:59:35
81,Cururupu,-1.8283,-44.8683,302.97,58,81,2.91,BR,2021-09-18 18:59:35
82,Grindavik,63.8424,-22.4338,282.12,93,90,6.69,IS,2021-09-18 18:59:36
83,Pastavy,55.1168,26.8326,279.12,91,100,8.19,BY,2021-09-18 18:59:36
84,Shingu,33.7333,135.9833,297.54,86,1,2.67,JP,2021-09-18 18:59:37
85,Saint-Joseph,-21.3667,55.6167,293.36,90,72,3.61,RE,2021-09-18 18:59:37
86,Cockburn+Town,21.4612,-71.1419,303.13,62,40,4.63,TC,2021-09-18 18:59:38
87,Sladkovo,55.5284,70.3385,278.8,91,100,3.13,RU,2021-09-18 18:59:38
88,Pinega,64.7001,43.3936,278.4,62,100,2.77,RU,2021-09-18 18:59:39
89,Sobolevo,54.4299,31.8996,278.56,93,100,10.62,RU,2021-09-18 18:59:39
90,Hithadhoo,-0.6,73.0833,301.52,73,77,2.26,MV,2021-09-18 18:59:40
91,Sao+Filipe,14.8961,-24.4956,299.24,84,81,4.27,CV,2021-09-18 18:59:40
92,Jackson,42.4165,-122.8345,289.7,91,90,1.54,US,2021-09-18 18:57:25
93,Katobu,-4.9408,122.5276,296.65,88,100,1.27,ID,2021-09-18 18:59:41
94,Port-Gentil,-0.7193,8.7815,298.48,81,100,6.71,GA,2021-09-18 18:59:41
95,Faanui,-16.4833,-151.75,298.84,73,75,9.8,PF,2021-09-18 18:59:42
96,Lebu,-37.6167,-73.65,285.45,57,12,4.77,CL,2021-09-18 18:59:42
97,Bluff,-46.6,168.3333,278.6,82,100,6.11,NZ,2021-09-18 18:59:43
98,Yellowknife,62.456,-114.3525,282.44,57,75,8.23,CA,2021-09-18 18:50:01
99,Victoria,22.2855,114.1577,303.14,84,91,4.45,HK,2021-09-18 18:56:44
100,Dangriga,16.9692,-88.2321,304.25,80,1,5.12,BZ,2021-09-18 18:59:44
101,Ishimbay,53.4545,56.0415,275.44,92,17,3.36,RU,2021-09-18 18:59:44
102,Castrillon,43.3979,-6.7922,289.45,93,28,0.5,ES,2021-09-18 18:59:45
103,Esperance,-33.8667,121.9,286.06,83,100,5.35,AU,2021-09-18 18:59:45
104,Walvis+Bay,-22.9575,14.5053,288.2,72,0,3.6,NA,2021-09-18 18:59:46
105,Ilanskiy,56.2358,96.065,284.84,97,100,2.81,RU,2021-09-18 18:59:46
106,Beringovskiy,63.05,179.3167,280.41,68,79,2.16,RU,2021-09-18 18:59:47
107,Provideniya,64.3833,-173.3,279.06,87,0,3.48,RU,2021-09-18 18:59:47
108,Puerto+Ayora,-0.7393,-90.3518,300.13,91,80,2.24,EC,2021-09-18 18:59:48
109,Severo-Kurilsk,50.6789,156.125,282.88,88,100,4.54,RU,2021-09-18 18:59:49
110,Husum,54.4858,9.0524,287.84,80,93,4.53,DE,2021-09-18 18:59:49
111,Half+Moon+Bay,37.4636,-122.4286,298.08,71,75,0.45,US,2021-09-18 18:59:50
112,Ndele,8.4109,20.6473,295.0,92,89,1.35,CF,2021-09-18 18:59:50
113,Saint+George,37.1041,-113.5841,294.41,37,87,1.22,US,2021-09-18 18:59:51
114,Vila+Velha,-20.3297,-40.2925,300.12,61,0,8.75,BR,2021-09-18 18:59:51
115,Katsuura,35.1333,140.3,297.21,94,98,10.14,JP,2021-09-18 18:55:19
116,Vardo,70.3705,31.1107,280.89,77,3,6.77,NO,2021-09-18 18:59:52
117,Clyde+River,70.4692,-68.5914,273.28,69,90,3.6,CA,2021-09-18 18:59:53
118,Jatiroto,-7.8833,111.1167,295.75,90,89,1.78,ID,2021-09-18 18:59:53
119,Ngunguru,-35.6167,174.5,278.8,77,0,2.23,NZ,2021-09-18 18:59:54
120,Bethel,41.3712,-73.414,301.88,71,58,0.45,US,2021-09-18 18:59:54
121,Port+Lincoln,-34.7333,135.8667,285.43,76,14,8.04,AU,2021-09-18 18:55:06
122,Shitanjing,39.2342,106.3439,289.29,62,41,1.99,CN,2021-09-18 18:59:55
123,Rafai,4.95,23.9167,294.56,91,100,0.32,CF,2021-09-18 18:59:55
124,Aleksandrov+Gay,50.147,48.5704,282.61,38,14,3.36,RU,2021-09-18 18:59:56
125,Vao,-22.6667,167.4833,293.79,62,45,8.03,NC,2021-09-18 18:59:56
126,Bam,29.106,58.357,303.61,7,0,2.77,IR,2021-09-18 18:59:57
127,Wajid,3.8093,43.2471,300.41,53,100,8.46,SO,2021-09-18 18:59:57
128,Tautira,-17.7333,-149.15,300.16,78,95,9.0,PF,2021-09-18 18:59:58
129,Kaputa,-8.4689,29.6619,299.92,39,6,0.94,ZM,2021-09-18 18:59:58
130,Chokurdakh,70.6333,147.9167,269.01,88,77,2.27,RU,2021-09-18 18:59:59
131,Leningradskiy,69.3833,178.4167,268.44,87,75,6.27,RU,2021-09-18 18:59:59
132,Krokeai,36.8833,22.55,299.24,48,0,2.7,GR,2021-09-18 19:00:00
133,Mwinilunga,-11.7358,24.4293,296.1,25,7,2.53,ZM,2021-09-18 19:00:00
134,Mont-De-Marsan,44.0,-0.6667,289.86,82,75,5.66,FR,2021-09-18 19:00:01
135,Abu+Road,24.4833,72.7833,298.3,94,100,2.06,IN,2021-09-18 19:00:01
136,Chilca,-12.5211,-76.7372,290.29,79,49,3.11,PE,2021-09-18 19:00:03
137,Champasak,14.75,106.0,296.25,99,85,1.08,LA,2021-09-18 19:00:04
138,Klaksvik,62.2266,-6.589,285.66,90,99,9.69,FO,2021-09-18 19:00:06
139,Pisco,-13.7,-76.2167,289.83,86,13,4.01,PE,2021-09-18 19:00:06
140,Tuktoyaktuk,69.4541,-133.0374,277.15,100,90,2.06,CA,2021-09-18 19:00:07
141,Bilma,18.6853,12.9164,307.19,13,100,3.01,NE,2021-09-18 19:00:08
142,Port+Elizabeth,-33.918,25.5701,289.32,77,40,8.75,ZA,2021-09-18 18:59:19
143,Monchegorsk,67.9397,32.8739,278.53,77,97,1.77,RU,2021-09-18 19:00:09
144,San+Patricio,28.017,-97.5169,308.55,42,28,3.67,US,2021-09-18 19:00:09
145,Thompson,55.7435,-97.8558,290.0,40,100,5.92,CA,2021-09-18 19:00:10
146,Cherskiy,68.75,161.3,270.6,86,16,5.4,RU,2021-09-18 19:00:10
147,Torit,4.4133,32.5678,293.63,96,79,1.29,SS,2021-09-18 19:00:11
148,Parrita,9.5201,-84.3225,306.49,76,100,2.44,CR,2021-09-18 19:00:12
149,Jacareacanga,-6.2222,-57.7528,298.46,81,95,1.3,BR,2021-09-18 19:00:12
150,Buckeye,33.3703,-112.5838,310.76,40,0,2.62,US,2021-09-18 19:00:00
151,Ketchikan,55.3422,-131.6461,283.79,86,100,1.07,US,2021-09-18 19:00:13
152,Malkangiri,18.35,81.9,297.0,93,100,0.27,IN,2021-09-18 19:00:14
153,Mount+Pleasant,32.7941,-79.8626,305.47,86,75,1.79,US,2021-09-18 18:56:06
154,Matongo,-2.3833,34.0833,294.6,69,100,2.86,TZ,2021-09-18 19:00:15
155,Constitucion,-35.3333,-72.4167,287.3,60,0,8.02,CL,2021-09-18 19:00:16
156,Mackay,-21.15,149.2,289.29,72,2,3.55,AU,2021-09-18 19:00:17
157,Dorogobuzh,54.915,33.2972,279.79,74,100,7.79,RU,2021-09-18 19:00:17
158,Olinda,-8.0089,-34.8553,299.0,65,40,6.69,BR,2021-09-18 19:00:18
159,Qaqortoq,60.7167,-46.0333,279.43,88,100,1.17,GL,2021-09-18 19:00:18
160,Salalah,17.0151,54.0924,300.01,88,99,2.28,OM,2021-09-18 19:00:19
161,Kenai,60.5544,-151.2583,284.9,66,8,2.1,US,2021-09-18 19:00:20
162,Port+Alfred,-33.5906,26.891,289.41,68,0,13.12,ZA,2021-09-18 19:00:21
163,Lingyuan,41.24,119.4011,288.6,70,100,1.36,CN,2021-09-18 19:00:22
164,Mahebourg,-20.4081,57.7,293.31,83,40,2.57,MU,2021-09-18 18:55:32
165,Ixtapa,20.7,-105.2,303.83,78,79,1.34,MX,2021-09-18 19:00:24
166,Bonfim,3.0833,-59.95,305.8,49,66,1.38,BR,2021-09-18 19:00:24
167,Lucera,41.5082,15.3351,295.87,68,27,0.83,IT,2021-09-18 19:00:25
168,Shellbrook,53.2168,-106.4011,300.14,21,69,5.57,CA,2021-09-18 19:00:21
169,Leh,34.1667,77.5833,289.1,25,0,2.23,IN,2021-09-18 19:00:27
170,Campo+Maior,-4.8278,-42.1686,311.2,20,30,3.62,BR,2021-09-18 19:00:28
171,Lavrentiya,65.5833,-171.0,277.77,77,100,2.75,RU,2021-09-18 19:00:28
172,Saskylakh,71.9167,114.0833,268.54,98,75,1.21,RU,2021-09-18 19:00:29
173,Ambilobe,-13.2,49.05,297.21,84,89,0.71,MG,2021-09-18 19:00:30
174,Ano+Komi,40.2333,21.8333,295.14,52,0,2.06,GR,2021-09-18 19:00:31
175,Basco,20.4487,121.9702,302.29,78,12,5.76,PH,2021-09-18 19:00:32
176,Hobyo,5.3505,48.5268,298.74,89,54,11.72,SO,2021-09-18 19:00:32
177,Talnakh,69.4865,88.3972,278.68,86,100,2.11,RU,2021-09-18 19:00:33
178,Atar,20.5169,-13.0499,305.74,33,100,5.04,MR,2021-09-18 19:00:34
179,Eyl,7.9803,49.8164,299.15,80,2,10.38,SO,2021-09-18 19:00:35
180,Mitsamiouli,-11.3847,43.2844,298.56,76,0,3.66,KM,2021-09-18 19:00:36
181,Araouane,18.9048,-3.5265,311.73,14,100,2.35,ML,2021-09-18 19:00:37
182,Acapulco,16.8634,-99.8901,301.6,72,100,0.88,MX,2021-09-18 18:58:54
183,Taltal,-25.4,-70.4833,289.89,69,100,3.14,CL,2021-09-18 19:00:38
184,Grand+Gaube,-20.0064,57.6608,293.36,87,12,4.63,MU,2021-09-18 19:00:39
